134	Lykke,Kastbjerg,Alsing,Hyldal,Glavind,Mørkeberg,Faaborg,Vendelboe,Herold,Kjersgaard,Høgsted,Straarup,Dyg,Rosted
133	Molin,Snedker,Sandholdt,Billeskov,Fries,Dyring,Holmstrøm,Stenstrup,Kronholm,Lundstrøm,Frimodt,Zinck
132	Fangel,Moll,Eskelund,Pind,Stenfeldt,Ahrenkiel,Severin,Bojsen,Holstein,Juulsgaard,Rønnov,Juncker,Kallesøe
131	Lindvig,Esmann,Holbech,Gren,Egsgaard,Elm,Priess,Birkmose,Sønder,Kildahl,Amdi,Borum,Ejlskov,Haubjerg,Maribo
130	Plauborg,Ebdrup,Zangenberg,Haubro,Moeslund,Kollerup,Baungaard,Sindberg,Sjøgren,Bache,Stoltze,Brinck,Holte,Brorson
129	Mundt,Hollænder,Helding,Abdallah,Kølbæk,Lorentzen,Ørtoft,Nyby,Thoft,Wendelbo,Kudsk,Stender,Korsbæk,Scharling,Mahler
128	Damtoft,Grann,Herskind,Karlskov,Wiese,Brodersen,Hassan,Kiilerich,Dalsgård,Heilskov,Stausholm,Lohse,Sondrup,Roth,Høi
127	Ipsen,Ravnkilde,Sandgaard,Handberg,Colding,Haupt,Nyland,Raagaard,Bording,Horsbøl,Opstrup,Nagel,Hurup,Samsø
126	Siig,Vammen,Engedal,Hvalsøe,Lodahl,Bremer,Marcher,Otte,Andresen,Rosborg,Kløve,Hasan
125	Aamand,Gjelstrup,Hedengran,Rousing,Hvidbjerg,Hornemann,Bøtker,Maigaard,Givskov,Pelle,Nylander,Folkmann
124	Normand,Pultz,Wendel,Drost,Thostrup,Rønning,Bergholt,Lundtoft,Ballegaard,Vanggaard,Bangsgaard,Lahn,Schøn,Asp,Wegener,Hedeager
123	Præst,Bartholin,Birkegaard,Rossing,Juncher,Lindgreen,Hedevang,Baagø,Kirkeskov,Lunding,Grunnet,Overvad,Hagemann,Block,Timm,Holdt,Hyttel,Nørup
122	Zeuthen,Vincentz,Friberg,Lindhard,Feldt,Boelt,Kibsgaard,Fobian,Lyster,Lyck,Frostholm
121	Fleischer,Wiborg,Gramstrup,Hesselberg,Heller,Bolding,Holch,Davidsen,Langelund,Lambert,Skjøtt,Uglebjerg,Gaardsted
120	Folke,Hegaard,Falch,Laumann,Vigsø,Brandi,Bendixen,Solgaard,Günther,Grandt,Chemnitz
119	Holse,Ingeman,Okholm,Thordal,Vesterby,Birkemose,Sindal,Enevold,Løvgreen,Sauer,Mellergaard,Bjerregård,Horsted,Vingaard,Dalgård,Schaldemose,Bjørndal
118	Ekstrøm,Stegmann,Bakke,Kjærgård,Kuhlmann,Scott,Juhler,Falslund,Fibiger,Støttrup,Gross,Hess,Gellert,Niebuhr,Grønfeldt,Dyrberg
117	Elling,Kammer,Kallestrup,Hellerup,Dreier,Haugsted,Meincke,Paarup,Thusgaard,Salah,Eskildsen
116	Wenzel,Thing,Schacht,Øhlenschlæger,Helleskov,Futtrup,Kynde,Rank,Hesselbjerg,Graakjær,Fris,Grud,Hylleberg,Sundgaard,Glargaard,Scharff,Lindved,Voldby,Frøsig,Halskov
115	Adnan,Noe,Windfeld,Becher,Lemvig,Skifter,Neve,Winkler,Neerup,Bredgaard,Dybro,Bilgrav,Dürr,Mustafa,Kannegaard,Urban,Møgelvang
114	Hornbech,Rahr,Frøstrup,Barfod,Stubbe,Brendstrup,Karup,Lausten,Bundgård,Bjerge,Dalum,Folmer,Grønne
113	Palle,Rosenstand,Elmegaard,Timmermann,Duedahl,Klinge,Houmøller,Breiner,Reedtz,Højfeldt,Weng,Vorre,Trærup
112	Tind,Behrens,Fomsgaard,Rothmann,Ellemose,Fromberg,Thordahl,Schulz,Thorø,Frahm,Svenning,Sjørup,Frydensbjerg,Eeg,Løhde,Pallesen
111	Vesterager,Brunhøj,Wallin,Thykjær,Tjørnelund,Gynther,Kopp,Zimmer,Stoltenberg,Lundø,Høybye,Romme
110	Riisager,Løbner,Wendt,Villum,Brahe,Vinge,Nyberg,Rovsing,Stræde,Bebe,Moltke,Hummelshøj,Løvgren,Stoklund,Bahne,Marott,Dietz
109	Frimand,Ginnerup,Værum,Hougård,Schytte,Uhd,Ilsø,Meinert,Elisabeth,Djurhuus,Bøgvad,Tøttrup,Bækkelund,Damsted,Myhre
108	Kaarina,Spliid,Borring,Lysholt,Dichmann,Boesgaard,Ferslev,Amtoft,Nors,Hvidkjær,Stouby,Johanne,Abed,Hannibal,Flensted,Pryds,Keinicke
107	Skals,Jensby,Lisby,Brændgaard,Holmbo,Sivebæk,Brixen,Flink,Kargaard,Lynnerup,Klink,Isager
106	Trap,Rørdam,Lauritsen,Klostergaard,Winberg,Dalhoff,Mølholm,Bjørnholdt,Dannemann,Muff,Lynghøj,Koldby,Korup,Kjølhede,Damholt,Ibrahim,Askov,Rønholt,Stenderup,Højstrup,Nordtorp,Bernt
105	Düring,Fredsgaard,Vindum,Winding,Lindeskov,Linaa,Sabroe,Korshøj,Bunk,Gyldenløve,Højmose,Thaysen,Arentoft,Oddershede,Krogstrup,Nør
104	Sølund,Dohn,Meinertz,Kortegaard,Helweg,Hauch,Ancher,Duch,Vogelius,Stærk,Asferg,Næsby,Krongaard,Kampmann,Kirch,Skougaard,Holmer
103	Haastrup,Levring,Gordon,Justesen,Gabriel,Dahlmann,Zimmermann,Agerbæk,Rokkjær,Thanning,Paulsen,Bladt
102	Vagn,Bluhme,Sigsgaard,Villumsen,Ahm,Hoberg,Hammerich,Thorlund,Collin,Hofman,Boserup,Aalund,Them,Kierkegaard,Elleby,Madvig,Tanderup,Thers,Beltoft,Lundegaard,Holmgren,Ryom,Sook
101	Finne,Seerup,Tornøe,Thorborg,Mols,Ellekær,Kirkegård,Brown,Ahle,Siggaard,Kornum,Braüner,Vinkel,Søholt,Kølle,Aagren,Boutrup
100	Lagoni,Hammershøj,Frisk,Lyneborg,Fønss,Funck,Tranholm,Seeberg,Buchhave,Bøttern,Løvkvist,Fjeldgaard,Grand,Marstrand,Gottschalck,Kristine,Spang,Lyder,Horne,Nørbo
99	Holmsgaard,Ringsted,Thøgersen,Rosenbæk,Fonnesbæk,Randløv,Eggers,Hasselbalch,Aae,Moe,Nørlem,Andkjær,Palsgaard,Fredsted,Funk,Vedsted,Devantier,Jacobi,Bojer,Dalskov,Ormstrup
98	Sølvberg,Eiberg,Holmboe,Rudbeck,Korgaard,Dorph,Abdirahman,Schroll,Fonager,Callesen,Glad,Stylsvig,Vitting,Carstensen,Elholm,Outzen,Rosgaard,Daa,Raaby,Søndberg,Schødt,Qvistgaard,Skærbæk,Stigaard,Theill,Weise,Boie,Stensig
97	Lehn,Thy,Høgsberg,Barsøe,Gandrup,Drud,Rimmer,Hagenau,Gosvig,Bønnelykke,Evald,Aasted,Refstrup,Julsgaard,Mariager,Lehrmann,Michaelsen,Gerlach,Porsborg,Galsgaard,Gaarn,Bjerremand,Bindslev,Holmgård,Hundahl,Vibæk,Asmussen,Aarøe
96	Poulsgaard,Skjellerup,Rohr,Popp,Abdulkadir,Gjørup,Nørbæk,Aaboe,Havgaard,Toftdal,Theilmann,Linnebjerg,Wøldike,Wirenfeldt,Thougaard,Wille,Jahn,Virenfeldt,Valsted
95	Holmsted,Wulf,Grothe,Thye,Steensen,Uhrenholt,Franch,Kahr,Grue,Elkær,Fruelund,Grønberg,Baggesgaard,Ostenfeld
